request_id,customer_id,timestamp,message,channel
32,4459,2025-03-26 03:13:55,Tracking number doesn’t work.,chat
33,6827,2025-03-03 13:46:34,How can I speak to a human agent?,email
34,2055,2025-03-20 17:25:30,My delivery is late again!,chat
35,7239,2025-03-07 16:37:28,The chat support is not responding.,chat
36,6590,2025-03-04 07:13:08,Customer service was very rude to me.,social_media
37,2234,2025-03-31 03:25:44,How can I speak to a human agent?,social_media
38,4063,2025-03-21 00:29:46,Why was I charged twice?,social_media
39,8166,2025-03-29 09:50:24,Please cancel my order immediately.,chat
40,7645,2025-03-26 22:24:25,Social media support didn’t help me.,email
41,3125,2025-03-10 01:23:12,My delivery is late again!,social_media
42,2740,2025-03-03 06:25:15,Please cancel my order immediately.,email
43,5382,2025-03-10 20:23:24,Social media support didn’t help me.,phone
44,8968,2025-03-15 22:20:00,I want to return my item. It's broken.,phone
45,6764,2025-03-05 18:05:37,My delivery is late again!,chat
46,8288,2025-03-20 09:47:17,The product I received is not what I ordered.,email
47,5250,2025-03-20 22:49:34,The product I received is not what I ordered.,phone
48,1399,2025-03-19 21:52:05,This is my third complaint this week!,chat
49,4838,2025-03-12 20:55:38,The product I received is not what I ordered.,email
50,9492,2025-03-06 18:46:28,How can I speak to a human agent?,social_media
51,7520,2025-03-26 16:17:32,"I love the product, but I need a different size.",phone
52,8888,2025-03-31 00:56:24,I want to return my item. It's broken.,phone
53,4479,2025-03-08 18:04:09,This is my third complaint this week!,phone
54,5362,2025-03-12 07:45:29,"I love the product, but I need a different size.",chat
55,6781,2025-03-16 04:13:11,I want to return my item. It's broken.,phone
56,8644,2025-03-11 01:56:14,My package arrived damaged.,chat
57,6892,2025-03-03 17:05:53,The product I received is not what I ordered.,phone
58,7661,2025-03-28 21:58:18,How can I change my shipping address?,phone
59,4017,2025-03-17 01:03:46,This is my third complaint this week!,social_media
60,5773,2025-03-14 01:32:05,Tracking number doesn’t work.,email
61,2704,2025-03-02 22:02:54,This is my third complaint this week!,social_media
62,4565,2025-03-26 19:58:42,How can I speak to a human agent?,chat
63,6293,2025-03-02 13:26:16,The chat support is not responding.,email
64,1457,2025-03-29 16:07:34,How can I change my shipping address?,social_media
65,2298,2025-03-17 18:43:43,Please cancel my order immediately.,email
66,4233,2025-03-11 07:32:52,"I love the product, but I need a different size.",social_media
67,7754,2025-03-16 10:29:20,Why was I charged twice?,chat
68,2794,2025-03-04 02:15:24,My package arrived damaged.,chat
69,2324,2025-03-14 04:01:39,Please cancel my order immediately.,email
70,4740,2025-03-24 22:36:31,Customer service was very rude to me.,chat
71,2941,2025-03-21 19:04:59,Customer service was very rude to me.,phone
72,2411,2025-03-06 00:38:23,I didn't receive my refund yet.,email
73,9991,2025-03-22 18:03:02,Social media support didn’t help me.,email
74,2123,2025-03-08 00:07:01,Customer service was very rude to me.,phone
75,2586,2025-03-21 11:32:35,Why was I charged twice?,social_media
76,2895,2025-03-11 03:55:07,The product I received is not what I ordered.,chat
77,3911,2025-03-13 00:10:40,How can I change my shipping address?,chat
78,7650,2025-03-12 16:58:45,Social media support didn’t help me.,chat
79,4940,2025-03-28 15:42:14,Tracking number doesn’t work.,social_media
80,4473,2025-03-18 05:31:47,I didn't receive my refund yet.,chat
81,1380,2025-03-01 15:20:53,How can I speak to a human agent?,phone
82,7644,2025-03-30 06:03:36,How can I change my shipping address?,email
83,2065,2025-03-28 20:12:56,I want to return my item. It's broken.,social_media
84,8267,2025-03-06 21:43:53,Why was I charged twice?,social_media
85,5561,2025-03-03 13:48:38,I didn't receive my refund yet.,email
86,4393,2025-03-21 17:16:27,Please cancel my order immediately.,chat
87,4565,2025-03-25 16:07:16,How can I change my shipping address?,phone
88,4876,2025-03-15 21:27:16,Please cancel my order immediately.,chat
89,4314,2025-03-07 21:10:28,Social media support didn’t help me.,chat
90,2128,2025-03-07 13:40:33,I want to return my item. It's broken.,chat
91,3046,2025-03-25 07:41:23,My package arrived damaged.,phone
92,7233,2025-03-01 19:43:35,The chat support is not responding.,social_media
93,6602,2025-03-06 14:50:10,How can I speak to a human agent?,email
94,6255,2025-03-24 19:06:41,"I love the product, but I need a different size.",social_media
95,6571,2025-03-24 14:23:50,The chat support is not responding.,email
96,3966,2025-03-14 10:18:50,The chat support is not responding.,email
97,6210,2025-03-18 15:56:15,I didn't receive my refund yet.,chat
98,1541,2025-03-15 23:43:51,My delivery is late again!,phone
99,7487,2025-03-22 09:14:58,Please cancel my order immediately.,phone
100,2197,2025-03-13 09:39:56,The chat support is not responding.,email
101,5137,2025-03-17 18:12:52,"I love the product, but I need a different size.",chat
102,4507,2025-03-21 07:21:40,My package arrived damaged.,chat
103,3785,2025-03-16 16:12:00,Tracking number doesn’t work.,phone
104,7283,2025-03-21 10:45:16,I didn't receive my refund yet.,social_media
105,9130,2025-03-09 02:37:47,Why was I charged twice?,chat
106,4835,2025-03-13 23:08:20,How can I speak to a human agent?,social_media
107,6878,2025-03-10 11:18:52,Why was I charged twice?,email
108,9528,2025-03-12 23:42:40,Why was I charged twice?,chat
109,6550,2025-03-20 18:41:29,The chat support is not responding.,email
110,9850,2025-03-25 17:22:54,How can I speak to a human agent?,email
111,5530,2025-03-25 00:58:22,I want to return my item. It's broken.,email
112,6945,2025-03-12 16:44:37,The chat support is not responding.,phone
113,5017,2025-03-28 12:05:02,How can I change my shipping address?,chat
114,2128,2025-03-01 08:52:19,The chat support is not responding.,social_media
115,8974,2025-03-18 01:29:44,"I love the product, but I need a different size.",social_media
116,9693,2025-03-04 14:29:35,I didn't receive my refund yet.,chat
117,2398,2025-03-25 10:58:39,I didn't receive my refund yet.,chat
118,6334,2025-03-12 22:17:27,Social media support didn’t help me.,chat
119,8828,2025-03-26 03:58:49,I want to return my item. It's broken.,social_media
120,5520,2025-03-07 04:16:38,Social media support didn’t help me.,social_media
121,3247,2025-03-02 02:09:41,My delivery is late again!,email
122,6760,2025-03-24 01:10:32,The product I received is not what I ordered.,phone
123,7465,2025-03-25 19:53:31,Customer service was very rude to me.,social_media
124,4211,2025-03-28 21:39:55,I want to return my item. It's broken.,email
125,4075,2025-03-24 23:22:02,Why was I charged twice?,phone
126,5070,2025-03-09 02:21:06,The chat support is not responding.,social_media
127,7837,2025-03-21 22:15:44,I want to return my item. It's broken.,social_media
128,6443,2025-03-20 15:49:47,I didn't receive my refund yet.,email
129,4922,2025-03-03 09:46:46,I didn't receive my refund yet.,chat
130,9127,2025-03-29 00:31:38,My delivery is late again!,social_media
131,7631,2025-03-20 02:04:20,I didn't receive my refund yet.,social_media
132,4677,2025-03-09 22:47:21,This is my third complaint this week!,social_media
133,1028,2025-03-06 14:14:42,My delivery is late again!,phone
134,2397,2025-03-04 21:23:06,Tracking number doesn’t work.,social_media
135,4855,2025-03-01 16:43:54,How can I change my shipping address?,phone
136,1381,2025-03-18 00:02:23,Please cancel my order immediately.,email
137,3145,2025-03-03 15:30:50,My delivery is late again!,social_media
138,4422,2025-03-13 18:51:43,My delivery is late again!,email
139,5223,2025-03-19 11:24:14,How can I change my shipping address?,social_media
140,6992,2025-03-20 15:40:31,I didn't receive my refund yet.,social_media
141,9870,2025-03-01 08:06:49,How can I speak to a human agent?,social_media
142,3400,2025-03-11 04:53:34,The chat support is not responding.,phone
143,8258,2025-03-11 07:26:41,Customer service was very rude to me.,chat
144,6403,2025-03-31 13:15:44,How can I speak to a human agent?,phone
145,6198,2025-03-15 10:07:04,This is my third complaint this week!,social_media
146,3244,2025-03-10 16:22:34,How can I speak to a human agent?,email
147,4094,2025-03-02 05:38:59,Social media support didn’t help me.,phone
148,1131,2025-03-24 20:54:40,This is my third complaint this week!,social_media
149,8955,2025-03-06 02:31:01,Tracking number doesn’t work.,phone
150,9145,2025-03-21 15:34:47,I want to return my item. It's broken.,social_media
151,5177,2025-03-14 12:39:40,Tracking number doesn’t work.,email
152,1243,2025-03-13 22:38:39,How can I change my shipping address?,social_media
153,5885,2025-03-21 00:34:37,Social media support didn’t help me.,social_media
154,9290,2025-03-19 06:47:25,My package arrived damaged.,phone
155,3791,2025-03-10 20:53:54,The chat support is not responding.,chat
156,4798,2025-03-03 06:47:26,Please cancel my order immediately.,email
157,9823,2025-03-11 05:23:28,My package arrived damaged.,chat
158,8720,2025-03-29 10:28:11,How can I speak to a human agent?,email
159,8894,2025-03-25 09:57:04,This is my third complaint this week!,email
160,1643,2025-03-12 17:57:26,This is my third complaint this week!,chat
161,7908,2025-03-13 15:16:46,The product I received is not what I ordered.,social_media
162,6659,2025-03-22 21:18:48,I didn't receive my refund yet.,chat
163,1673,2025-03-16 03:53:37,My delivery is late again!,email
164,7322,2025-03-11 03:36:52,This is my third complaint this week!,phone
165,5150,2025-03-02 18:25:12,"I love the product, but I need a different size.",social_media
166,5458,2025-03-30 07:33:51,Customer service was very rude to me.,chat
167,3770,2025-03-15 20:46:27,My package arrived damaged.,chat
168,6169,2025-03-25 00:11:54,How can I speak to a human agent?,email
169,5541,2025-03-25 20:51:43,How can I change my shipping address?,chat
170,6049,2025-03-27 17:24:02,The chat support is not responding.,chat
171,7202,2025-03-18 10:35:50,I didn't receive my refund yet.,phone
172,8255,2025-03-18 03:56:18,How can I speak to a human agent?,chat
173,9296,2025-03-11 05:43:34,Why was I charged twice?,social_media
174,4116,2025-03-29 16:53:32,My delivery is late again!,phone
175,4249,2025-03-12 14:52:49,Customer service was very rude to me.,email
176,3544,2025-03-03 12:19:16,How can I change my shipping address?,email
177,8457,2025-03-16 18:19:44,"I love the product, but I need a different size.",social_media
178,7319,2025-03-28 17:26:18,Social media support didn’t help me.,chat
179,8928,2025-03-27 01:42:01,My delivery is late again!,phone
180,1653,2025-03-26 14:15:30,Social media support didn’t help me.,social_media
181,6184,2025-03-30 17:33:22,My package arrived damaged.,social_media
182,3128,2025-03-27 11:39:10,I didn't receive my refund yet.,social_media
183,6025,2025-03-12 16:52:53,Tracking number doesn’t work.,phone
184,1070,2025-03-28 11:05:55,My delivery is late again!,email
185,3458,2025-03-08 09:03:14,How can I change my shipping address?,chat
186,8899,2025-03-20 17:14:35,Tracking number doesn’t work.,email
187,7436,2025-03-17 11:25:27,Social media support didn’t help me.,email
188,5681,2025-03-26 02:53:29,Tracking number doesn’t work.,chat
189,1680,2025-03-07 14:16:33,Social media support didn’t help me.,chat
190,4834,2025-03-05 13:51:07,Why was I charged twice?,email
191,7513,2025-03-11 11:02:30,"I love the product, but I need a different size.",email
192,2431,2025-03-31 06:21:07,I want to return my item. It's broken.,social_media
193,8084,2025-03-16 11:18:59,My package arrived damaged.,email
194,9157,2025-03-04 08:45:27,I didn't receive my refund yet.,phone
195,1395,2025-03-15 05:54:51,How can I speak to a human agent?,phone
196,5384,2025-03-27 18:43:37,"I love the product, but I need a different size.",social_media
197,9969,2025-03-11 20:53:01,Tracking number doesn’t work.,phone
198,2669,2025-03-05 03:57:07,Tracking number doesn’t work.,social_media
199,4565,2025-03-03 03:25:48,Why was I charged twice?,social_media
200,7672,2025-03-19 13:06:04,Tracking number doesn’t work.,chat
